pressure,flow_rate
0.0173305, 3.4e-8
0.0538955, 8.5e-8
0.14412, 1.7e-7
0.270419, 2.55e-7
0.433341, 3.4e-7
0.630148, 4.25e-7
0.865077, 5.10e-7
1.11477, 5.95e-7
1.42665, 6.8e-7
1.74411, 7.65e-7
2.08405, 8.50e-7
