pressure,flow_rate
0.0175065, 3.4e-8
0.0535166, 8.5e-8
0.142764, 1.7e-7
0.26798, 2.55e-7
0.431115, 3.4e-7
0.633024, 4.25e-7
0.866461, 5.10e-7
1.13493, 5.95e-7
1.43523, 6.8e-7
1.77484, 7.65e-7
2.15537, 8.50e-7
