pressure,flow_rate
0.0360949, 1.7e-8
0.0856972, 3.4e-8
0.306484, 8.5e-8
0.886248, 1.7e-7
1.68808, 2.55e-7
2.70848, 3.4e-7
3.96031, 4.25e-7
5.38771, 5.10e-7
7.07939, 5.95e-7
8.83552, 6.8e-7
11.0896, 7.65e-7
13.3993, 8.50e-7
