pressure,flow_rate
0.0294767, 1.7e-7
0.0505704, 2.55e-7
0.0756286, 3.4e-7
0.105178, 4.25e-7
0.138244, 5.10e-7
0.175368, 5.95e-7
0.216345, 6.8e-7
0.261129, 7.65e-7
0.309999, 8.50e-7
